,Year,AverageClosing Price,Year Open,Year High,Year Low,Year Close,Annual% Change
0,2020,$55.05,$61.18,$63.27,$49.57,$53.38,-12.58%
1,2019,$57.05,$46.54,$66.30,$46.54,$61.06,34.46%
2,2018,$64.90,$60.37,$76.41,$42.53,$45.41,-24.84%
3,2017,$50.84,$52.33,$60.42,$42.53,$60.42,12.47%
4,2016,$43.58,$36.76,$54.06,$26.21,$53.72,45.03%
5,2015,$48.72,$52.72,$61.43,$34.73,$37.04,-30.70%
6,2014,$93.17,$95.14,$107.95,$53.45,$53.45,-45.55%
7,2013,$97.98,$93.14,$110.62,$86.65,$98.17,6.90%
8,2012,$94.05,$102.96,$109.39,$77.72,$91.83,-7.08%
9,2011,$94.88,$91.59,$113.39,$75.40,$98.83,8.15%
10,2010,$79.48,$81.52,$91.48,$64.78,$91.38,15.10%
11,2009,$61.95,$46.17,$81.03,$34.03,$79.39,78.00%
12,2008,$99.67,$99.64,$145.31,$30.28,$44.60,-53.52%
13,2007,$72.34,$60.77,$99.16,$50.51,$95.95,57.68%
14,2006,$66.05,$63.11,$77.05,$55.90,$60.85,-0.34%
15,2005,$56.64,$42.16,$69.91,$42.16,$61.06,40.82%
16,2004,$41.51,$33.71,$56.37,$32.49,$43.36,33.37%
17,2003,$31.08,$31.97,$37.96,$25.25,$32.51,4.17%
18,2002,$26.19,$21.13,$32.68,$18.02,$31.21,56.36%
19,2001,$25.98,$27.29,$32.21,$17.50,$19.96,-25.30%
20,2000,$30.38,$25.56,$37.22,$23.91,$26.72,3.73%
21,1999,$19.35,$12.42,$28.03,$11.38,$25.76,112.19%
22,1998,$14.42,$17.41,$17.93,$10.82,$12.14,-31.22%
23,1997,$20.61,$25.55,$26.55,$17.60,$17.65,-31.85%
24,1996,$22.12,$19.83,$26.55,$17.33,$25.90,32.55%
25,1995,$18.43,$17.45,$20.53,$16.86,$19.54,9.96%
26,1994,$17.20,$14.52,$20.72,$13.89,$17.77,25.23%
27,1993,$18.43,$19.03,$21.05,$13.98,$14.19,-27.19%
28,1992,$20.58,$19.43,$23.03,$17.89,$19.49,1.78%
29,1991,$21.54,$26.53,$32.25,$17.43,$19.15,-32.76%
30,1990,$24.53,$22.88,$41.07,$15.43,$28.48,30.40%
31,1989,$19.64,$17.38,$24.62,$16.99,$21.84,27.57%
32,1988,$15.97,$17.77,$18.54,$12.58,$17.12,2.27%
33,1987,$19.20,$18.13,$22.44,$15.12,$16.74,-6.64%
