宋家庄 小三居  高楼层 满五年唯一包含综合地价款,460,单价51547元/平米
易构空间满五年唯一全南两居室，视野好，私密性好,658,单价75737元/平米
（新）东南向2居 安静不临街 商品房,385,单价51259元/平米
CBD传奇二期，聚焦房，北向带燃气，业主急售，有钥匙,261,单价70484元/平米
望京知语城 精装修 满五唯一 正南北通透 拎包入住,1120,单价65189元/平米
满五年 好位置，一层 阳台宽敞，有小院,200,单价53263元/平米
彩虹新城 A2 两居室 南北通透,415,单价47445元/平米
满两年 原值高 只有契税 明厨明卫2+1户型,950,单价80632元/平米
房山城关 兴房大街 南北向 满二年,160,单价19886元/平米
东向两居室 双卫 景观好 无遮挡 视野开阔 居住舒适,425,单价44865元/平米
低总价， 楼龄新， 近地铁大一居,215,单价34667元/平米
九间堂上叠别墅 满两年 原值897万 带露台,1369,单价62452元/平米
东南三居室，满五年仅有住房，看房方便，配合签约,840,单价66147元/平米
华龙美树 满五年唯一商品房 南向 不临街,565,单价47301元/平米
满五年唯一 南北通透 户型方正 布局合理,270,单价62227元/平米
白纸坊精装两居室 电梯直达 中高楼层采光好视野佳。,675,单价95501元/平米
西城 西直门 南北通透两居 中间楼层 94年楼龄,615,单价100163元/平米
国瑞城中区 1室1厅 495万,495,单价94955元/平米
店长推荐:海淀低总价一居室，业主诚心出售。,345,单价93345元/平米
双卫户型方正四居改三居不临街采光好看房方便电梯房,710,单价53509元/平米
一层 客厅朝南带窗户两居室 1995年建成 业主诚心出售,284,单价39022元/平米
旗舰精装修的正婚一居，明厨明卫的南北户型,275,单价42204元/平米
金鱼池精美五居复式，满五年唯一，看房方便，单价低,770,单价54696元/平米
此房满五唯一，南向一居室，业主自住的精装修,252,单价43441元/平米
楼龄1997年  满五唯一精装修，中间楼层,365,单价79695元/平米
南北2居室 家具家电全 地板墙面 干净亮堂  看房联系,287,单价35875元/平米
南向楼层好，视野开阔，户型方正，业主诚售.,485,单价71640元/平米
探矿家属院满五唯一南北通透两居室,238,单价39326元/平米
学院路 高楼层 正西向 视野佳 小户型 总价低 带电梯,400,单价66667元/平米
龙乡东区  南北三居室  中间楼层  满五唯一,385,单价47257元/平米
宋家庄 小三居  高楼层 满五年唯一包含综合地价款,460,单价51547元/平米
易构空间满五年唯一全南两居室，视野好，私密性好,658,单价75737元/平米
（新）东南向2居 安静不临街 商品房,385,单价51259元/平米
CBD传奇二期，聚焦房，北向带燃气，业主急售，有钥匙,261,单价70484元/平米
望京知语城 精装修 满五唯一 正南北通透 拎包入住,1120,单价65189元/平米
满五年 好位置，一层 阳台宽敞，有小院,200,单价53263元/平米
彩虹新城 A2 两居室 南北通透,415,单价47445元/平米
满两年 原值高 只有契税 明厨明卫2+1户型,950,单价80632元/平米
房山城关 兴房大街 南北向 满二年,160,单价19886元/平米
东向两居室 双卫 景观好 无遮挡 视野开阔 居住舒适,425,单价44865元/平米
低总价， 楼龄新， 近地铁大一居,215,单价34667元/平米
九间堂上叠别墅 满两年 原值897万 带露台,1369,单价62452元/平米
东南三居室，满五年仅有住房，看房方便，配合签约,840,单价66147元/平米
华龙美树 满五年唯一商品房 南向 不临街,565,单价47301元/平米
满五年唯一 南北通透 户型方正 布局合理,270,单价62227元/平米
白纸坊精装两居室 电梯直达 中高楼层采光好视野佳。,675,单价95501元/平米
西城 西直门 南北通透两居 中间楼层 94年楼龄,615,单价100163元/平米
国瑞城中区 1室1厅 495万,495,单价94955元/平米
店长推荐:海淀低总价一居室，业主诚心出售。,345,单价93345元/平米
双卫户型方正四居改三居不临街采光好看房方便电梯房,710,单价53509元/平米
一层 客厅朝南带窗户两居室 1995年建成 业主诚心出售,284,单价39022元/平米
旗舰精装修的正婚一居，明厨明卫的南北户型,275,单价42204元/平米
金鱼池精美五居复式，满五年唯一，看房方便，单价低,770,单价54696元/平米
此房满五唯一，南向一居室，业主自住的精装修,252,单价43441元/平米
楼龄1997年  满五唯一精装修，中间楼层,365,单价79695元/平米
南北2居室 家具家电全 地板墙面 干净亮堂  看房联系,287,单价35875元/平米
南向楼层好，视野开阔，户型方正，业主诚售.,485,单价71640元/平米
探矿家属院满五唯一南北通透两居室,238,单价39326元/平米
学院路 高楼层 正西向 视野佳 小户型 总价低 带电梯,400,单价66667元/平米
龙乡东区  南北三居室  中间楼层  满五唯一,385,单价47257元/平米
纯板楼社区三居，满五唯一，中高层视野采光不错,850,单价73594元/平米
千鹤家园满五年唯一精装南向两居室，已改成一居室,650,单价58840元/平米
金地格林小镇露台两居室，不临街,578,单价52979元/平米
满五年 低楼层 南北向 无遮挡,355,单价69827元/平米
翠微东里 满五年公房 楼层高 采光好,428,单价104902元/平米
双朝向视野宽阔 居住安静 小区带花园,532,单价80962元/平米
西城二环内，全南向2居，单价总价低，满五公房！,430,单价82932元/平米
满五年商品房，家庭名下唯一住房，精装修，价格优势,526,单价61342元/平米
